Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-25 07:00 PM,2016,01,25,19,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 08:00 AM,2016,01,25,08,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 09:00 AM,2016,01,25,09,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 10:00 AM,2016,01,25,10,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 11:00 AM,2016,01,25,11,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 12:00 PM,2016,01,25,12,40.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 01:00 PM,2016,01,25,13,47.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 02:00 AM,2016,01,25,02,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 03:00 AM,2016,01,25,03,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 04:00 AM,2016,01,25,04,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 05:00 AM,2016,01,25,05,24.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 06:00 AM,2016,01,25,06,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 07:00 AM,2016,01,25,07,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 08:00 PM,2016,01,24,20,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 09:00 PM,2016,01,24,21,9.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 10:00 PM,2016,01,24,22,11.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 11:00 PM,2016,01,24,23,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 12:00 AM,2016,01,25,00,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-25 01:00 AM,2016,01,25,01,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 02:00 PM,2016,01,24,14,12.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 03:00 PM,2016,01,24,15,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 04:00 PM,2016,01,24,16,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 05:00 PM,2016,01,24,17,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 06:00 PM,2016,01,24,18,13.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 07:00 PM,2016,01,24,19,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 08:00 AM,2016,01,24,08,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 09:00 AM,2016,01,24,09,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 10:00 AM,2016,01,24,10,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 11:00 AM,2016,01,24,11,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 12:00 PM,2016,01,24,12,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 01:00 PM,2016,01,24,13,14.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 02:00 AM,2016,01,24,02,55.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 03:00 AM,2016,01,24,03,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 04:00 AM,2016,01,24,04,60.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 05:00 AM,2016,01,24,05,51.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 06:00 AM,2016,01,24,06,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 07:00 AM,2016,01,24,07,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 08:00 PM,2016,01,23,20,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 09:00 PM,2016,01,23,21,43.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 10:00 PM,2016,01,23,22,45.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 11:00 PM,2016,01,23,23,49.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 12:00 AM,2016,01,24,00,47.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-24 01:00 AM,2016,01,24,01,53.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-23 02:00 PM,2016,01,23,14,14.0,UG/M3,1 Hr,Valid
